,Entity ID,Gender,Marital Status,Dependents,Education,Entity's Income in INR,Entity's Family Income in INR,City Type,Average Expenditure per Entity per Month in INR
0,0,Female,Yes,4,PG,11000,43000,A,15000
1,1,Male,Yes,0,Ph.d,31000,303000,B,10000
2,2,Male,Yes,3,UG,12000,398000,B,10000
3,3,Female,Yes,0,Not Educated,11000,260000,A,15000
4,4,Male,No,4,Ph.d,8000,306000,B,10000
5,5,Male,Yes,0,PG,31000,64000,B,10000
6,6,Male,Yes,3,Ph.d,19000,91000,C,5000
7,7,Male,Yes,2,Ph.d,17000,301000,C,5000
8,8,Male,Yes,3,Ph.d,12000,192000,B,10000
9,9,Male,Yes,3,Ph.d,7000,17000,A,15000
10,10,Male,Yes,3,Ph.d,23000,233000,B,10000
11,11,Female,No,0,Ph.d,48000,272000,C,5000
12,12,Male,No,4,PG,11000,450000,B,10000
13,13,Female,No,3,Ph.d,27000,183000,B,10000
14,14,Female,Yes,3,Ph.d,26000,204000,B,10000
15,15,Male,Yes,0,Ph.d,37000,173000,A,15000
16,16,Male,Yes,1,Not Educated,33000,269000,D,2500
17,17,Female,Yes,3,Ph.d,45000,150000,B,10000
18,18,Male,Yes,3,UG,15000,151000,B,10000
19,19,Male,Yes,2,PG,9000,92000,B,10000
20,20,Male,Yes,1,Ph.d,16000,83000,D,2500
21,21,Male,Yes,3,Ph.d,22000,341000,B,10000
22,22,Male,Yes,0,PG,23000,426000,B,10000
23,23,Male,Yes,5,Ph.d,11000,448000,B,10000
24,24,Female,Yes,2,Ph.d,12000,136000,B,10000
25,25,Male,Yes,4,Ph.d,6000,197000,B,10000
26,26,Male,Yes,1,Ph.d,24000,292000,B,10000
27,27,Male,Yes,2,Ph.d,21000,245000,B,10000
28,28,Female,Yes,2,UG,16000,477000,B,10000
29,29,Male,Yes,0,PG,41000,357000,D,2500
30,30,Male,Yes,5,PG,18000,300000,B,10000
31,31,Male,Yes,5,Not Educated,34000,413000,A,15000
32,32,Male,Yes,4,Ph.d,27000,94000,B,10000
33,33,Male,Yes,5,Not Educated,38000,165000,B,10000
34,34,Female,Yes,4,UG,41000,68000,A,15000
35,35,Male,Yes,3,Ph.d,10000,327000,B,10000
36,36,Male,Yes,0,Ph.d,41000,272000,A,15000
37,37,Male,Yes,4,Ph.d,47000,198000,B,10000
38,38,Male,Yes,0,PG,28000,462000,B,10000
39,39,Male,Yes,2,UG,8000,120000,D,2500
40,40,Male,Yes,3,Ph.d,8000,53000,B,10000
41,41,Male,Yes,1,UG,29000,465000,D,2500
42,42,Male,Yes,1,Not Educated,14000,387000,B,10000
43,43,Male,Yes,3,Ph.d,45000,276000,B,10000
44,44,Male,Yes,1,Ph.d,36000,497000,C,5000
45,45,Female,No,0,Ph.d,7000,386000,B,10000
46,46,Male,Yes,0,Not Educated,48000,432000,D,2500
47,47,Male,Yes,3,Ph.d,9000,210000,B,10000
48,48,Male,No,1,Ph.d,7000,413000,A,15000
49,49,Female,Yes,0,Ph.d,8000,169000,B,10000
50,50,Male,No,1,Ph.d,37000,284000,A,15000
51,51,Female,Yes,0,PG,18000,241000,B,10000
52,52,Male,Yes,5,Ph.d,31000,130000,B,10000
53,53,Male,Yes,0,Ph.d,37000,242000,D,2500
54,54,Male,Yes,1,Ph.d,33000,199000,B,10000
55,55,Male,No,4,Ph.d,16000,391000,C,5000
56,56,Female,Yes,4,Not Educated,15000,366000,A,15000
57,57,Male,No,3,Ph.d,19000,343000,B,10000
58,58,Female,Yes,2,Ph.d,36000,402000,B,10000
59,59,Female,No,0,UG,27000,49000,A,15000
60,60,Male,Yes,1,Ph.d,46000,70000,D,2500
61,61,Male,Yes,4,PG,46000,76000,D,2500
62,62,Male,Yes,2,Ph.d,12000,435000,B,10000
63,63,Male,Yes,4,PG,39000,66000,B,10000
64,64,Male,No,4,Ph.d,36000,152000,A,15000
65,65,Male,Yes,4,Ph.d,46000,116000,B,10000
66,66,Female,Yes,3,UG,33000,58000,B,10000
67,67,Female,No,3,Ph.d,25000,145000,B,10000
68,68,Male,Yes,5,Ph.d,24000,72000,B,10000
69,69,Male,Yes,0,Ph.d,26000,84000,B,10000
70,70,Male,Yes,4,Not Educated,14000,169000,D,2500
71,71,Male,Yes,3,PG,48000,246000,B,10000
72,72,Female,Yes,0,Ph.d,25000,236000,D,2500
73,73,Male,Yes,5,Ph.d,27000,314000,B,10000
74,74,Male,Yes,3,PG,10000,415000,D,2500
75,75,Female,Yes,1,Not Educated,43000,367000,B,10000
76,76,Female,Yes,2,Ph.d,16000,119000,B,10000
77,77,Male,Yes,1,UG,11000,253000,B,10000
78,78,Female,Yes,2,Not Educated,50000,227000,B,10000
79,79,Female,No,2,Ph.d,21000,393000,B,10000
80,80,Male,Yes,4,Ph.d,40000,167000,D,2500
81,81,Male,Yes,2,PG,32000,488000,B,10000
82,82,Female,Yes,5,Ph.d,47000,141000,C,5000
83,83,Male,Yes,1,PG,37000,75000,C,5000
84,84,Male,No,5,Ph.d,46000,230000,B,10000
85,85,Female,Yes,3,Ph.d,36000,354000,A,15000
86,86,Male,Yes,1,UG,11000,207000,C,5000
87,87,Male,Yes,4,Ph.d,8000,491000,A,15000
88,88,Male,No,1,PG,33000,480000,C,5000
89,89,Female,Yes,3,Ph.d,19000,450000,C,5000
90,90,Male,Yes,0,Ph.d,12000,85000,D,2500
91,91,Male,Yes,1,Not Educated,9000,101000,C,5000
92,92,Female,No,5,Ph.d,33000,292000,D,2500
93,93,Male,Yes,2,PG,26000,127000,C,5000
94,94,Male,Yes,1,Ph.d,17000,49000,B,10000
95,95,Male,Yes,4,Ph.d,43000,275000,B,10000
96,96,Male,Yes,1,Ph.d,7000,216000,B,10000
97,97,Male,Yes,1,PG,16000,447000,A,15000
98,98,Female,Yes,0,UG,31000,88000,D,2500
99,99,Male,Yes,2,Ph.d,16000,367000,B,10000
100,100,Male,Yes,0,Ph.d,26000,267000,B,10000
101,101,Male,No,1,UG,13000,135000,C,5000
102,102,Female,Yes,5,UG,11000,435000,B,10000
103,103,Female,No,5,PG,45000,473000,B,10000
104,104,Male,Yes,0,Not Educated,39000,465000,C,5000
105,105,Male,Yes,1,Ph.d,23000,149000,B,10000
106,106,Male,Yes,5,Ph.d,14000,351000,D,2500
107,107,Male,No,2,Ph.d,31000,187000,B,10000
108,108,Male,No,0,Ph.d,29000,148000,A,15000
109,109,Female,Yes,3,Ph.d,43000,56000,B,10000
110,110,Male,Yes,3,Ph.d,24000,347000,B,10000
111,111,Male,Yes,4,Ph.d,13000,36000,B,10000
112,112,Male,Yes,1,Ph.d,8000,455000,B,10000
113,113,Male,No,0,Ph.d,19000,476000,D,2500
114,114,Male,No,0,Ph.d,33000,292000,B,10000
115,115,Male,No,1,Ph.d,29000,344000,D,2500
116,116,Male,Yes,1,Ph.d,10000,126000,B,10000
117,117,Female,Yes,4,Ph.d,23000,82000,B,10000
118,118,Male,No,0,Ph.d,17000,283000,C,5000
119,119,Female,Yes,5,Ph.d,36000,75000,B,10000
120,120,Male,Yes,3,Ph.d,47000,404000,B,10000
121,121,Male,Yes,2,UG,37000,462000,C,5000
122,122,Female,Yes,1,Ph.d,50000,360000,B,10000
123,123,Male,Yes,2,PG,40000,423000,B,10000
124,124,Male,Yes,2,Not Educated,38000,440000,B,10000
125,125,Male,Yes,0,Ph.d,42000,187000,B,10000
126,126,Male,Yes,4,Ph.d,33000,210000,B,10000
127,127,Female,Yes,2,Ph.d,8000,249000,B,10000
128,128,Male,Yes,4,Ph.d,10000,452000,C,5000
129,129,Male,Yes,4,Ph.d,45000,49000,B,10000
130,130,Male,Yes,5,UG,31000,283000,B,10000
131,131,Male,Yes,0,PG,11000,429000,B,10000
132,132,Male,No,2,Ph.d,7000,144000,B,10000
133,133,Male,No,5,Ph.d,10000,74000,B,10000
134,134,Male,Yes,3,Ph.d,36000,394000,B,10000
135,135,Female,No,1,Ph.d,25000,217000,B,10000
136,136,Male,Yes,3,Not Educated,42000,419000,B,10000
137,137,Male,Yes,0,UG,19000,411000,B,10000
138,138,Male,No,1,Ph.d,13000,230000,B,10000
139,139,Male,Yes,3,Ph.d,49000,456000,B,10000
140,140,Male,Yes,1,Not Educated,12000,205000,B,10000
141,141,Male,Yes,4,Ph.d,49000,428000,B,10000
142,142,Female,No,0,PG,28000,191000,A,15000
143,143,Male,Yes,3,Ph.d,33000,361000,B,10000
144,144,Female,No,1,Ph.d,28000,221000,A,15000
145,145,Male,Yes,2,UG,35000,399000,B,10000
146,146,Male,Yes,0,PG,38000,343000,A,15000
147,147,Male,Yes,5,Ph.d,13000,84000,B,10000
148,148,Male,Yes,3,Ph.d,43000,386000,B,10000
149,149,Female,Yes,1,Ph.d,30000,263000,C,5000
150,150,Male,Yes,1,Ph.d,30000,150000,C,5000
151,151,Male,Yes,5,Not Educated,42000,294000,C,5000
152,152,Male,Yes,3,UG,37000,360000,A,15000
153,153,Male,Yes,1,Ph.d,7000,137000,A,15000
154,154,Male,Yes,2,Ph.d,13000,167000,D,2500
155,155,Male,Yes,1,Ph.d,13000,59000,B,10000
156,156,Female,Yes,5,Not Educated,46000,101000,A,15000
157,157,Female,No,0,Ph.d,30000,109000,A,15000
158,158,Male,Yes,2,PG,19000,23000,D,2500
159,159,Male,Yes,1,UG,24000,480000,B,10000
160,160,Male,Yes,5,Ph.d,43000,221000,B,10000
161,161,Female,Yes,4,Ph.d,32000,489000,A,15000
162,162,Male,Yes,4,Ph.d,29000,368000,C,5000
163,163,Female,No,4,Ph.d,39000,153000,B,10000
164,164,Male,Yes,5,Not Educated,46000,421000,A,15000
165,165,Male,Yes,0,Ph.d,18000,51000,B,10000
166,166,Male,Yes,4,Ph.d,19000,496000,D,2500
167,167,Female,Yes,4,UG,7000,134000,B,10000
168,168,Male,Yes,3,Ph.d,42000,301000,B,10000
169,169,Male,Yes,2,Ph.d,48000,439000,D,2500
170,170,Male,No,0,PG,41000,348000,B,10000
171,171,Male,Yes,5,Ph.d,19000,430000,A,15000
172,172,Male,Yes,1,PG,46000,426000,D,2500
173,173,Female,Yes,1,Ph.d,34000,245000,B,10000
174,174,Male,Yes,0,Not Educated,27000,277000,B,10000
175,175,Male,No,0,Ph.d,40000,46000,C,5000
176,176,Female,Yes,4,Ph.d,16000,268000,B,10000
177,177,Female,Yes,5,Ph.d,13000,162000,D,2500
178,178,Male,Yes,2,Ph.d,15000,421000,B,10000
179,179,Male,Yes,4,Not Educated,28000,402000,B,10000
180,180,Female,Yes,3,Ph.d,14000,279000,B,10000
181,181,Female,Yes,3,Ph.d,47000,267000,B,10000
182,182,Female,Yes,0,Ph.d,46000,49000,B,10000
183,183,Male,Yes,0,Not Educated,50000,113000,B,10000
184,184,Female,Yes,4,Ph.d,19000,288000,C,5000
185,185,Male,No,0,PG,40000,102000,B,10000
186,186,Female,Yes,2,UG,48000,100000,C,5000
187,187,Male,Yes,3,PG,38000,460000,B,10000
188,188,Male,Yes,1,Ph.d,44000,497000,B,10000
189,189,Male,Yes,2,Ph.d,16000,293000,C,5000
190,190,Male,Yes,1,UG,38000,285000,B,10000
191,191,Male,No,0,Not Educated,48000,73000,B,10000
192,192,Male,No,0,Not Educated,39000,153000,D,2500
193,193,Male,Yes,2,Ph.d,30000,370000,A,15000
194,194,Female,Yes,5,Ph.d,42000,77000,B,10000
195,195,Male,Yes,4,Ph.d,12000,202000,B,10000
196,196,Female,Yes,2,PG,25000,251000,B,10000
197,197,Male,No,0,Ph.d,9000,336000,B,10000
198,198,Male,Yes,4,Ph.d,20000,274000,D,2500
199,199,Male,No,3,Ph.d,36000,291000,A,15000
200,200,Male,Yes,0,Ph.d,47000,440000,B,10000
201,201,Male,No,4,Ph.d,19000,211000,A,15000
202,202,Male,Yes,3,Ph.d,16000,495000,C,5000
203,203,Male,Yes,0,Ph.d,31000,135000,C,5000
204,204,Male,Yes,0,PG,44000,374000,B,10000
205,205,Male,Yes,5,Ph.d,41000,241000,B,10000
206,206,Male,Yes,2,PG,31000,403000,B,10000
207,207,Female,No,4,Ph.d,37000,212000,B,10000
208,208,Male,No,5,Ph.d,31000,465000,B,10000
209,209,Male,No,1,Ph.d,49000,385000,B,10000
210,210,Male,Yes,1,Ph.d,39000,414000,B,10000
211,211,Male,Yes,2,Ph.d,47000,300000,B,10000
212,212,Male,Yes,1,Ph.d,24000,313000,B,10000
213,213,Male,No,2,Ph.d,5000,276000,B,10000
214,214,Male,No,5,Ph.d,40000,217000,B,10000
215,215,Male,Yes,4,Ph.d,32000,47000,B,10000
216,216,Female,Yes,0,Ph.d,19000,455000,C,5000
217,217,Male,Yes,1,Ph.d,35000,463000,B,10000
218,218,Male,Yes,1,UG,47000,405000,B,10000
219,219,Male,Yes,3,Ph.d,44000,204000,C,5000
220,220,Male,Yes,5,Ph.d,28000,392000,C,5000
221,221,Male,Yes,5,Ph.d,21000,434000,A,15000
222,222,Female,Yes,0,UG,19000,61000,B,10000
223,223,Male,Yes,4,Ph.d,13000,168000,B,10000
224,224,Male,Yes,4,Ph.d,9000,471000,B,10000
225,225,Male,No,1,PG,23000,110000,B,10000
226,226,Female,No,2,Ph.d,40000,106000,B,10000
227,227,Male,No,2,Ph.d,26000,133000,B,10000
228,228,Male,No,1,Ph.d,22000,289000,A,15000
229,229,Male,Yes,1,Ph.d,17000,265000,B,10000
230,230,Male,Yes,2,Ph.d,36000,134000,B,10000
231,231,Male,Yes,4,UG,8000,21000,A,15000
232,232,Male,Yes,0,UG,41000,271000,B,10000
233,233,Male,Yes,4,Ph.d,39000,278000,A,15000
234,234,Male,No,3,Ph.d,18000,198000,A,15000
235,235,Male,Yes,3,UG,29000,234000,B,10000
236,236,Male,Yes,2,Ph.d,47000,486000,B,10000
237,237,Male,No,4,Ph.d,48000,432000,D,2500
238,238,Male,No,5,PG,15000,24000,C,5000
239,239,Male,Yes,4,Ph.d,16000,415000,B,10000
240,240,Female,Yes,2,Ph.d,46000,311000,B,10000
241,241,Male,Yes,4,UG,15000,496000,C,5000
