,Unnamed: 0,Entity ID,Gender,Marital Status,Dependents,Education,Entity's Income in INR,Entity's Family Income in INR,City Type,Average Expenditure per Entity per Month in INR,Economic Status
0,0,0,Female,Yes,4,PG,11000,43000,A,15000,Poor
1,1,1,Male,Yes,0,Ph.d,31000,303000,B,10000,Excellent
2,2,2,Male,Yes,3,UG,12000,398000,B,10000,Excellent
3,3,3,Female,Yes,0,Not Educated,11000,260000,A,15000,Good
4,4,4,Male,No,4,Ph.d,8000,306000,B,10000,Good
5,5,5,Male,Yes,0,PG,31000,64000,B,10000,Moderate
6,6,6,Male,Yes,3,Ph.d,19000,91000,C,5000,Moderate
7,7,7,Male,Yes,2,Ph.d,17000,301000,C,5000,Good
8,8,8,Male,Yes,3,Ph.d,12000,192000,B,10000,Moderate
9,9,9,Male,Yes,3,Ph.d,7000,17000,A,15000,Poor
10,10,10,Male,Yes,3,Ph.d,23000,233000,B,10000,Good
11,11,11,Female,No,0,Ph.d,48000,272000,C,5000,Good
12,12,12,Male,No,4,PG,11000,450000,B,10000,Excellent
13,13,13,Female,No,3,Ph.d,27000,183000,B,10000,Moderate
14,14,14,Female,Yes,3,Ph.d,26000,204000,B,10000,Good
15,15,15,Male,Yes,0,Ph.d,37000,173000,A,15000,Good
16,16,16,Male,Yes,1,Not Educated,33000,269000,D,2500,Good
17,17,17,Female,Yes,3,Ph.d,45000,150000,B,10000,Moderate
18,18,18,Male,Yes,3,UG,15000,151000,B,10000,Moderate
19,19,19,Male,Yes,2,PG,9000,92000,B,10000,Moderate
20,20,20,Male,Yes,1,Ph.d,16000,83000,D,2500,Moderate
21,21,21,Male,Yes,3,Ph.d,22000,341000,B,10000,Excellent
22,22,22,Male,Yes,0,PG,23000,426000,B,10000,Excellent
23,23,23,Male,Yes,5,Ph.d,11000,448000,B,10000,Excellent
24,24,24,Female,Yes,2,Ph.d,12000,136000,B,10000,Moderate
25,25,25,Male,Yes,4,Ph.d,6000,197000,B,10000,Moderate
26,26,26,Male,Yes,1,Ph.d,24000,292000,B,10000,Good
27,27,27,Male,Yes,2,Ph.d,21000,245000,B,10000,Good
28,28,28,Female,Yes,2,UG,16000,477000,B,10000,Excellent
29,29,29,Male,Yes,0,PG,41000,357000,D,2500,Excellent
30,30,30,Male,Yes,5,PG,18000,300000,B,10000,Good
31,31,31,Male,Yes,5,Not Educated,34000,413000,A,15000,Excellent
32,32,32,Male,Yes,4,Ph.d,27000,94000,B,10000,Average
33,33,33,Male,Yes,5,Not Educated,38000,165000,B,10000,Moderate
34,34,34,Female,Yes,4,UG,41000,68000,A,15000,Average
35,35,35,Male,Yes,3,Ph.d,10000,327000,B,10000,Excellent
36,36,36,Male,Yes,0,Ph.d,41000,272000,A,15000,Good
37,37,37,Male,Yes,4,Ph.d,47000,198000,B,10000,Moderate
38,38,38,Male,Yes,0,PG,28000,462000,B,10000,Excellent
39,39,39,Male,Yes,2,UG,8000,120000,D,2500,Moderate
40,40,40,Male,Yes,3,Ph.d,8000,53000,B,10000,Average
41,41,41,Male,Yes,1,UG,29000,465000,D,2500,Excellent
42,42,42,Male,Yes,1,Not Educated,14000,387000,B,10000,Excellent
43,43,43,Male,Yes,3,Ph.d,45000,276000,B,10000,Good
44,44,44,Male,Yes,1,Ph.d,36000,497000,C,5000,Excellent
45,45,45,Female,No,0,Ph.d,7000,386000,B,10000,Excellent
46,46,46,Male,Yes,0,Not Educated,48000,432000,D,2500,Excellent
47,47,47,Male,Yes,3,Ph.d,9000,210000,B,10000,Good
48,48,48,Male,No,1,Ph.d,7000,413000,A,15000,Excellent
49,49,49,Female,Yes,0,Ph.d,8000,169000,B,10000,Good
50,50,50,Male,No,1,Ph.d,37000,284000,A,15000,Good
51,51,51,Female,Yes,0,PG,18000,241000,B,10000,Good
